City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Kavieng,PG,-2.5744,150.7967,301.05,73,18,5.37,few clouds
234,Yaan,NG,7.3833,8.5667,305.89,35,2,2.64,clear sky
235,Ryotsu,JP,38.0833,138.4333,287.77,71,87,3.27,overcast clouds
236,Port-Cartier,CA,50.0334,-66.8654,283.01,55,28,4.44,scattered clouds
237,Mount Gambier,AU,-37.8333,140.7667,277.97,94,100,2.16,overcast clouds
238,Mansa,IN,29.9833,75.3833,298.02,29,0,2.95,clear sky
239,Xuanzhou,CN,30.9525,118.7553,289.08,73,2,3.19,clear sky
240,Point Pedro,LK,9.8167,80.2333,299.52,86,100,6.07,moderate rain
241,Vostok,RU,46.4856,135.8833,274.62,75,100,1.29,overcast clouds
242,Kawalu,ID,-7.3817,108.2082,295.06,93,96,0.33,overcast clouds
243,Nacala,MZ,-14.5428,40.6728,299.13,78,0,5.6,clear sky
244,Bogovarovo,RU,58.9785,47.0246,274.35,97,100,4.56,snow
245,Bilibino,RU,68.0546,166.4372,242.69,100,98,0.85,overcast clouds
246,Huaihua,CN,27.5494,109.9592,288.18,75,0,1.81,clear sky
247,Bridlington,GB,54.0831,-0.1919,287.75,90,83,4.02,broken clouds
248,Maniwaki,CA,46.3834,-75.966,279.36,70,100,0.51,overcast clouds
249,Itacare,BR,-14.2775,-38.9967,299.47,80,95,3.65,overcast clouds
250,Sijunjung,ID,-0.6876,100.9537,295.84,97,100,0.89,overcast clouds
251,Teknaf,BD,20.8624,92.3058,298.92,84,0,3.3,clear sky
252,Schwedt,DE,53.0596,14.2815,292.72,75,62,0.25,broken clouds
253,Kjollefjord,NO,70.9457,27.3465,277.05,93,75,4.12,broken clouds
254,Bluefield,US,37.2698,-81.2223,287.47,91,100,1.54,overcast clouds
255,Ambilobe,MG,-13.2,49.05,299.64,61,92,1.76,overcast clouds
256,Mbandaka,CD,0.0487,18.2603,295.33,98,100,1.86,light rain
257,Grand Gaube,MU,-20.0064,57.6608,297.37,72,10,2.68,clear sky
258,Anadyr,RU,64.75,177.4833,250.43,76,0,6.0,clear sky
259,Marzuq,YE,14.4,46.4667,297.49,28,8,1.85,clear sky
260,Aqtobe,KZ,50.2797,57.2072,282.2,93,100,6.0,overcast clouds
261,San Antonio,US,29.4241,-98.4936,294.25,77,0,1.54,clear sky
262,Del Rio,US,29.3627,-100.8968,288.28,78,0,2.57,clear sky
263,Yashan,CN,22.1975,109.9419,293.35,49,100,3.89,overcast clouds
264,Minot,US,48.2325,-101.2963,281.27,57,0,5.14,clear sky
265,Turbat,PK,26.0023,63.044,302.1,46,0,4.04,clear sky
266,Ransang,PH,8.9603,117.5828,298.99,88,100,2.66,light rain
267,Grand-Santi,GF,4.25,-54.3833,299.39,81,100,1.24,light rain
268,Sharjah,AE,25.3573,55.4033,303.14,61,51,4.63,broken clouds
269,Ambon,ID,-3.6954,128.1814,301.52,75,91,0.08,overcast clouds
270,Abbeville,FR,50.1,1.8333,294.96,60,95,5.52,overcast clouds
271,Sokoni,TZ,-6.4333,39.55,302.07,81,58,6.28,broken clouds
272,Tuktoyaktuk,CA,69.4541,-133.0374,263.15,79,100,4.63,light snow
273,Corner Brook,CA,48.9667,-57.9484,286.24,70,16,6.4,few clouds
274,Mayo,US,38.8876,-76.5119,289.95,88,75,4.12,moderate rain
275,Fairbanks,US,64.8378,-147.7164,256.99,85,20,0.0,few clouds
276,Tiksi,RU,71.6872,128.8694,260.3,92,100,2.94,overcast clouds
277,Lopatyn,UA,50.2202,24.8483,283.85,66,4,1.36,clear sky
278,Anori,BR,-3.7728,-61.6442,307.17,46,100,1.69,overcast clouds
279,Navrongo,GH,10.8956,-1.0921,308.99,19,1,4.14,clear sky
280,Babadag,RO,44.9,28.7167,291.08,39,0,4.12,clear sky
